"","occurrence_data_csv.gbifID","species","lon","lat","CHELSA_bio1","CHELSA_bio4","CHELSA_bio12"
"74",5889296680,"Fagus sylvatica",-3.412777,41.214684,7.25000000000006,621.2,821.5
"75",5889293422,"Cortaderia selloana",-4.755164,43.421967,14.95,328.2,1507.4
"76",5889226907,"Fagus sylvatica",-3.493125,41.107747,9.65000000000003,635.3,796.5
"77",5868399499,"Fagus sylvatica",2.469372,41.827734,13.15,583.1,1002.4
"78",5868377775,"Cortaderia selloana",-4.877705,43.442445,15.05,331.4,1449.1
"79",5868346460,"Cortaderia selloana",-4.877873,43.442327,15.05,331.4,1449.1
"80",5868308251,"Fagus sylvatica",-5.571231,42.842842,8.65000000000003,526.9,1124.8
"81",5868232555,"Fagus sylvatica",-4.986287,43.271473,8.65000000000003,439.2,1970.9
"82",5868188718,"Fagus sylvatica",-2.844153,41.999062,5.75000000000006,580.1,1087.8
"83",5868118887,"Fagus sylvatica",-0.83467,42.93017,9.25000000000006,531.6,2023.2
"84",5868107433,"Fagus sylvatica",-1.629033,43.031189,10.55,488.9,1871.4
"85",5868106591,"Fagus sylvatica",2.440058,41.860989,10.55,567.5,1032.4
"86",5868092069,"Cortaderia selloana",-7.86865,42.343442,14.35,450.3,876
"87",5868048710,"Cortaderia selloana",-0.736242,37.631319,18.15,420.3,323.5
"88",5867979413,"Fagus sylvatica",-4.523028,42.831777,9.45000000000005,522.1,977.7
"89",5867960470,"Fagus sylvatica",2.40377,41.824514,9.55000000000001,560.8,1108.8
"90",5867951639,"Cortaderia selloana",1.962245,41.27322,16.2500000000001,500.3,651.2
"91",5867919538,"Fagus sylvatica",-0.79968,42.897288,7.05000000000001,538.4,1970.2
"92",5867904176,"Cortaderia selloana",-0.191118,39.761058,17.85,499.8,500.6
"93",5867856464,"Cortaderia selloana",-4.875564,43.441773,15.05,331.4,1449.1
"94",5867831465,"Fagus sylvatica",-5.017389,43.100792,8.55000000000001,486.1,1554.5
"95",5867829485,"Fagus sylvatica",-2.844462,41.998495,5.75000000000006,580.1,1087.8
"96",5867734664,"Fagus sylvatica",-0.797407,42.896145,7.05000000000001,538.4,1970.2
"97",5867725044,"Cortaderia selloana",3.275744,39.451624,18.05,480.8,520.7
